OPEN,CLOSE,HIGH,LOW,VOLUME,QPL,QPL+,QPL-,MA5,MA21,MACD,RSI,BBup,BBlow,CCI,Stoch,ADX,ATR
14018.5,13950,14048,13913.5,43159,14062.87806178669,14167.03600574972,13871.52133800201,13886,13319.65476190476,204.2544567343521,59.90271816980339,14072.45685404203,13698.43600310083,42.24509545174679,76.29521016617791,36.12896189558315,197.6041666666667
13914.75,14019.5,14027,13865.5,45927,13958.79962265908,14062.18670050333,13768.85911744934,13843.8,13279.35714285714,209.3472089221177,62.34421825399728,14089.1170873684,13634.70434120303,107.4418208166393,57.22235664166465,36.01134985677808,202.2916666666667
13755.75,13914,13980,13737.5,47178,13799.29627980327,13901.50198210163,13611.5261722168,13802.8,13243.5119047619,205.7259986756344,60.04901765682266,14081.46075712006,13580.00352859422,38.1128421793851,43.44762799436355,36.69655486312428,203.3333333333333
13892,13760.75,13941.75,13701.25,49134,13935.97760347688,14039.19564802761,13746.34764258116,13724.6,13193.58333333333,208.8534576166585,56.4702052012471,14080.66892526415,13535.75964616442,-60.80145305937111,25.10678690080683,39.1529275713943,193.75
13747,13890.75,13925.25,13701,50231,13790.51858011781,13892.65926961097,13602.86791265211,13679.75,13156.04761904762,225.4110003724181,60.75735355444317,14145.96172430795,13408.46684712062,39.14348609165499,33.03639602952405,42.96618249310619,184.3333333333333
13897.25,13734.25,13932.75,13719.25,51000,13941.24422328816,14044.50127552201,13751.54259831997,13583.35,13106.80952380952,230.0293767570765,57.11812602935295,14224.63956569668,13215.14614858903,-40.46757253901345,44.18177042290517,47.77719793584274,190.8541666666667
13984.5,13892,14051,13821,48326,14028.77042872318,14132.6757515003,13837.8778151221,13443.45,13058.67857142857,248.5127680443002,62.54724623446791,14320.93188829776,12998.06811170224,50.47054722899946,75.79553996492108,52.75883799378636,193.2083333333333
13996.5,14017.25,14058.25,13953.25,46099,14040.80841686324,14144.80290005892,13849.75199966795,13297.1,12997.05952380952,252.4277472066206,67.26071542523351,14330.05392258247,12856.23179170324,95.94199658239789,75.3111111111111,54.91663885111662,198.9166666666667
13824.5,13998.75,14033,13788.75,47694,13868.26392018904,13970.98043738538,13679.55535451074,13173.1,12952.89285714286,241.0002806507946,66.91879653930357,14281.61759502972,12753.41811925599,99.21379255297923,80,51.68278392819077,207.375
13975.25,13825.5,14028,13772.75,42508,14019.49114619855,14123.32774115303,13828.72479786801,13045.05,12897.2619047619,224.7928556191691,63.61433205757901,14230.60777468575,12631.74936817139,65.92865928659286,80.55327868852459,48.34998820867663,203.1458333333333
13823.25,13974,13993,13772.25,45605,13867.00996309112,13969.71719274386,13678.31846028722,12937.7,12866.30952380952,218.4765734061602,69.10874533919399,14187.2224527395,12528.13469011764,102.7292844848783,95.14708637811505,44.53728666736946,207.8333333333333
13813.75,13823,13830.75,13731.5,48389,13857.4798891469,13960.11653346828,13668.91806418842,12879.35,12864.67857142857,192.1168594047376,66.36582674179485,14059.74022933386,12520.72405638042,89.36962637188468,96.98969735994849,40.33950385790865,210.1458333333333
13787.5,13808.75,13838.75,13648,47810,13831.14679009052,13933.5883959963,13642.94328549437,12907.55,12884.83333333333,171.0523973970357,66.10206986884145,13952.88801406302,12518.79055736556,102.1027394568252,96.90747154873824,36.76491708119907,231.8125
13617.5,13787.75,13788.75,13614.75,45365,13660.60862477299,13761.78712474921,13474.7256710948,12927.25,12881.30952380952,143.12935829052,65.73436313488835,13835.15532128867,12496.73753585419,122.9496355637271,95.71594386409201,32.64039387730341,231.9375
13580,13620.5,13640,13512.5,46446,13622.9899118353,13723.88978550352,13437.61884438901,12901.6,12873.11904761905,107.5457068012529,62.74577487464939,13692.57628374908,12496.70943053663,122.6197468895181,95.39381854436691,28.35816191819663,248.125
13600.5,13583,13652,13524.5,47814,13643.55480824124,13744.6069976245,13457.90390965484,12901.5,12898.02380952381,77.59281771056703,62.05677042037433,13587.8190929345,12537.10947849407,156.9189084575189,96.31467793030623,25.34270717336167,255.4166666666667
13335.5,13598.75,13613.75,13311.25,40852,13377.71590348157,13476.79913362167,13195.68233426728,12976.2,12915.15476190476,42.05159828630167,62.50763296235482,13475.69079157366,12587.73777985491,223.3076467101363,95.76842879921502,21.15413558775374,286.7708333333333
